fighter,elo,record
Maurice Smith,1559.1786244329744,"{'July 27, 1997': {'opponent': 'Mark Coleman', 'result': 1}, 'October 17, 1997': {'opponent': 'David Abbott', 'result': 1}, 'December 21, 1997': {'opponent': 'Randy Couture', 'result': 0}, 'March 05, 1999': {'opponent': 'Kevin Randleman', 'result': 0}, 'July 16, 1999': {'opponent': 'Marco Ruas', 'result': 1}, 'September 22, 2000': {'opponent': 'Bobby Hoffman', 'result': 1}, 'November 17, 2000': {'opponent': 'Renato Sobral', 'result': 0}}"
Greg Stott,1475.9361125515306,"{'October 17, 1997': {'opponent': 'Mark Kerr', 'result': 0}}"
Carlos Barreto,1469.1967857874918,"{'October 17, 1997': {'opponent': 'Dave Beneteau', 'result': 0}}"
Dwayne Cason,1507.5024019779166,"{'October 17, 1997': {'opponent': 'Mark Kerr', 'result': 0}}"
Houston Dorr,1470.939003057951,"{'October 17, 1997': {'opponent': 'Dwayne Cason', 'result': 0}}"
Harry Moskowitz,1473.5612814962624,"{'October 17, 1997': {'opponent': 'Alex Hunter', 'result': 0}}"
Kazushi Sakuraba,1526.3494418007576,"{'December 21, 1997': {'opponent': 'Marcus Silveira', 'result': 0.5}}"
Marcus Silveira,1475.9682746156477,"{'December 21, 1997': {'opponent': 'Kazushi Sakuraba', 'result': 0.5}}"
Brad Kohler,1503.6084071411192,"{'December 21, 1997': {'opponent': 'Tra Telligman', 'result': 0}, 'September 24, 1999': {'opponent': 'Steve Judson', 'result': 1}}"
Yoji Anjo,1432.8065328676976,"{'December 21, 1997': {'opponent': 'David Abbott', 'result': 0}, 'April 14, 2000': {'opponent': 'Murilo Bustamante', 'result': 0}, 'December 16, 2000': {'opponent': 'Matt Lindland', 'result': 0}}"
Frank Shamrock,1606.2646813564331,"{'December 21, 1997': {'opponent': 'Kevin Jackson', 'result': 1}, 'March 13, 1998': {'opponent': 'Igor Zinoviev', 'result': 1}, 'May 15, 1998': {'opponent': 'Jeremy Horn', 'result': 1}, 'October 16, 1998': {'opponent': 'John Lober', 'result': 1}, 'September 24, 1999': {'opponent': 'Tito Ortiz', 'result': 1}}"
Tsuyoshi Kohsaka,1532.1455887841337,"{'March 13, 1998': {'opponent': 'Kimo Leopoldo', 'result': 1}, 'October 16, 1998': {'opponent': 'Pete Williams', 'result': 1}, 'January 08, 1999': {'opponent': 'Bas Rutten', 'result': 0}, 'July 16, 1999': {'opponent': 'Tim Lajcik', 'result': 1}, 'November 19, 1999': {'opponent': 'Pedro Rizzo', 'result': 0}, 'May 10, 2002': {'opponent': 'Ricco Rodriguez', 'result': 0}}"
Igor Zinoviev,1474.0067446551154,"{'March 13, 1998': {'opponent': 'Frank Shamrock', 'result': 0}}"
Mikey Burnett,1519.673188945857,"{'March 13, 1998': {'opponent': 'Eugenio Tadeu', 'result': 1}, 'October 16, 1998': {'opponent': 'Pat Miletich', 'result': 0}, 'January 08, 1999': {'opponent': 'Townsend Saunders', 'result': 1}}"
Eugenio Tadeu,1470.939003057951,"{'March 13, 1998': {'opponent': 'Mikey Burnett', 'result': 0}}"
